a = 00000f80, b = 0316, yout = 000000f8
a = 00001f00, b = 018b, yout = 000000f8
a = 00003e00, b = 00c5, yout = 00001ff8
a = 00007c00, b = 0062, yout = 00005df8
a = 0000f800, b = 0031, yout = 00005df8
a = 0001f000, b = 0018, yout = 000155f8
a = 0003e000, b = 000c, yout = 000155f8
a = 0007c000, b = 0006, yout = 000155f8
a = 000f8000, b = 0003, yout = 000155f8
a = 001f0000, b = 0001, yout = 0010d5f8
124 * 25282 = 002fd5f8, Reality = 002fd5f8
a = 00000854, b = 27f8, yout = 00000000
a = 000010a8, b = 13fc, yout = 00000000
a = 00002150, b = 09fe, yout = 00000000
a = 000042a0, b = 04ff, yout = 00000000
a = 00008540, b = 027f, yout = 000042a0
a = 00010a80, b = 013f, yout = 0000c7e0
a = 00021500, b = 009f, yout = 0001d260
a = 00042a00, b = 004f, yout = 0003e760
a = 00085400, b = 0027, yout = 00081160
a = 0010a800, b = 0013, yout = 00106560
a = 00215000, b = 0009, yout = 00210d60
a = 0042a000, b = 0004, yout = 00425d60
a = 00854000, b = 0002, yout = 00425d60
a = 010a8000, b = 0001, yout = 00425d60
2132 * 10232 = 014cdd60, Reality = 014cdd60
a = 0000231b, b = 0001, yout = 00000000
8987 * 1 = 0000231b, Reality = 0000231b
a = 00000001, b = e9e8, yout = 00000000
a = 00000002, b = 74f4, yout = 00000000
a = 00000004, b = 3a7a, yout = 00000000
a = 00000008, b = 1d3d, yout = 00000000
a = 00000010, b = 0e9e, yout = 00000008
a = 00000020, b = 074f, yout = 00000008
a = 00000040, b = 03a7, yout = 00000028
a = 00000080, b = 01d3, yout = 00000068
a = 00000100, b = 00e9, yout = 000000e8
a = 00000200, b = 0074, yout = 000001e8
a = 00000400, b = 003a, yout = 000001e8
a = 00000800, b = 001d, yout = 000001e8
a = 00001000, b = 000e, yout = 000009e8
a = 00002000, b = 0007, yout = 000009e8
a = 00004000, b = 0003, yout = 000029e8
a = 00008000, b = 0001, yout = 000069e8
1 * 59880 = 0000e9e8, Reality = 0000e9e8
52711 * 0 = 00000000, Reality = 00000000
a = 00000000, b = 438d, yout = 00000000
a = 00000000, b = 21c6, yout = 00000000
a = 00000000, b = 10e3, yout = 00000000
a = 00000000, b = 0871, yout = 00000000
a = 00000000, b = 0438, yout = 00000000
a = 00000000, b = 021c, yout = 00000000
a = 00000000, b = 010e, yout = 00000000
a = 00000000, b = 0087, yout = 00000000
a = 00000000, b = 0043, yout = 00000000
a = 00000000, b = 0021, yout = 00000000
a = 00000000, b = 0010, yout = 00000000
a = 00000000, b = 0008, yout = 00000000
a = 00000000, b = 0004, yout = 00000000
a = 00000000, b = 0002, yout = 00000000
a = 00000000, b = 0001, yout = 00000000
0 * 17293 = 00000000, Reality = 00000000
Done.  0 Errors
PASSED
